Response ID,Faculty,Subject Knowledge,Regularity & Punctuality,Communication Skills,Syllabus Coverage,Interest Generated in Subject,Faculty Preparation,Overall Acceptance,Subject
RESP-541,F,5,5,5,5,4,5,4,NLP
RESP-542,F,5,5,5,5,5,5,5,NLP
RESP-543,F,3,3,3,3,3,3,3,NLP
RESP-544,F,4,4,4,4,4,4,4,NLP
RESP-545,F,2,2,2,2,1,2,1,NLP
RESP-546,F,5,5,5,5,5,5,5,NLP
RESP-547,F,3,3,3,3,3,3,3,NLP
RESP-548,F,2,2,2,2,2,2,2,NLP
RESP-549,F,1,1,1,1,1,1,1,NLP
RESP-550,F,5,5,5,5,5,5,5,NLP
RESP-551,F,4,4,4,4,4,4,4,NLP
RESP-552,F,4,4,5,5,5,4,4,NLP
RESP-553,F,1,1,1,1,1,1,1,NLP
RESP-554,F,1,1,1,1,1,1,1,NLP
RESP-555,F,4,4,4,4,4,4,4,NLP
RESP-556,F,4,4,4,4,4,4,4,NLP
RESP-557,F,3,3,3,3,3,3,3,NLP
RESP-558,F,4,4,4,4,4,4,4,NLP
RESP-559,F,2,2,1,1,2,2,1,NLP
RESP-560,F,5,5,5,5,5,5,5,NLP
RESP-561,F,5,5,5,5,5,5,5,NLP
RESP-562,F,4,4,4,4,4,4,4,NLP
RESP-563,F,4,4,4,4,3,4,4,NLP
RESP-564,F,5,5,5,5,5,5,5,NLP
RESP-565,F,4,4,4,4,4,4,4,NLP
RESP-566,F,2,2,2,2,2,2,2,NLP
RESP-567,F,5,5,5,5,5,5,,NLP
RESP-568,F,1,1,1,1,1,,1,NLP
RESP-569,F,5,5,5,5,5,5,5,NLP
RESP-570,F,4,4,4,4,4,4,4,NLP
RESP-571,F,4,4,4,4,4,4,4,NLP
RESP-572,F,4,4,4,3,2,4,3,NLP
RESP-573,F,2,3,2,3,2,3,2,NLP
RESP-574,F,4,4,4,4,4,4,4,NLP
RESP-575,F,5,5,5,5,5,5,5,NLP
RESP-576,F,5,5,5,5,5,5,5,NLP
RESP-577,F,2,1,2,3,2,2,1,NLP
RESP-578,F,5,5,5,5,5,5,5,NLP
RESP-579,F,5,5,5,5,4,5,5,NLP
RESP-580,F,3,4,3,4,3,3,3,NLP
RESP-581,F,1,1,1,1,1,1,1,NLP
RESP-582,F,4,4,4,4,4,4,4,CC
RESP-583,F,4,4,4,4,4,4,4,CC
RESP-584,F,5,5,5,5,5,5,5,CC
RESP-585,F,5,5,5,5,5,5,5,CC
RESP-586,F,3,3,3,3,3,3,3,CC
RESP-587,F,5,4,5,4,5,4,5,CC
RESP-588,F,5,5,5,5,5,5,5,CC
RESP-589,F,4,4,4,4,4,4,,CC
RESP-590,F,4,4,4,4,4,4,4,CC
RESP-591,F,4,4,4,4,4,4,4,CC
RESP-592,F,5,4,4,4,4,4,5,CC
RESP-593,F,4,5,4,5,4,5,4,CC
RESP-594,F,4,4,4,4,4,4,4,CC
RESP-595,F,4,4,4,4,4,4,4,CC
RESP-596,F,4,5,4,4,5,5,5,CC
RESP-597,F,4,4,3,2,3,3,3,CC
RESP-598,F,4,4,4,5,4,5,4,CC
RESP-599,F,3,3,3,3,3,3,3,CC
RESP-600,G,4,4,4,4,4,4,4,CC
RESP-601,G,4,4,4,4,4,5,4,CC
RESP-602,G,5,5,5,5,5,5,5,CC
RESP-603,G,5,5,5,5,5,5,5,CC
RESP-604,G,5,5,5,5,5,5,5,CC
RESP-605,G,5,5,5,5,5,5,5,CC
RESP-606,G,5,4,5,4,5,4,4,CC
RESP-607,G,5,5,5,5,5,5,5,CC
RESP-608,G,4,4,4,4,4,4,4,CC
RESP-609,G,5,5,5,5,5,5,5,CC
RESP-610,G,5,5,5,5,5,5,5,CC
RESP-611,G,5,5,5,5,5,5,5,CC
RESP-612,G,5,5,5,5,5,5,5,CC
RESP-613,G,5,5,5,5,5,5,5,CC
RESP-614,G,5,5,5,5,5,5,5,CC
RESP-615,G,5,5,5,5,5,5,5,CC
RESP-616,G,5,5,5,5,5,5,5,CC
RESP-617,G,5,4,4,4,4,4,4,CC
RESP-618,G,5,5,5,5,5,5,5,CC
RESP-619,G,4,5,5,4,4,4,4,CC
RESP-620,G,5,5,5,5,5,5,5,CC
RESP-621,G,5,5,5,5,5,5,5,CC
RESP-622,G,5,5,5,5,5,5,5,CC
RESP-623,G,5,5,5,5,5,5,5,CC
RESP-624,G,3,3,3,3,3,3,3,CC
RESP-625,G,5,5,5,5,5,5,5,CC
RESP-626,G,5,5,5,5,5,5,5,CC
RESP-627,G,5,5,5,5,5,5,5,CC
RESP-628,G,5,5,5,5,5,5,5,CC
RESP-629,G,5,5,5,5,5,5,5,CC
RESP-630,G,5,5,5,5,5,5,5,CC
RESP-631,G,5,5,5,5,5,5,5,CC
RESP-632,G,5,5,5,5,4,4,4,CC
RESP-633,G,5,5,5,5,5,5,5,CC
RESP-634,G,5,5,5,5,5,5,5,CC
RESP-635,G,5,5,5,5,5,5,5,CC
RESP-636,G,5,5,5,5,5,5,5,CC
RESP-637,G,5,3,3,5,5,5,5,CC
RESP-638,G,5,5,5,5,5,5,5,CC
RESP-639,G,4,4,4,4,4,4,4,CC
RESP-640,G,5,4,5,5,5,4,5,CC
RESP-641,G,5,5,5,5,5,5,5,CC
RESP-642,G,4,4,4,4,4,4,4,CC
RESP-643,G,5,5,5,5,5,5,5,CC
RESP-644,G,5,5,5,5,5,5,5,DAA
RESP-645,G,5,5,5,5,5,5,5,DAA
RESP-646,H,4,4,4,4,4,4,4,DAA
RESP-647,H,5,5,5,5,5,5,5,DAA
RESP-648,H,5,5,5,5,5,5,5,DAA
RESP-649,H,5,4,4,4,4,4,4,DAA
RESP-650,H,4,4,4,4,4,4,4,DAA
RESP-651,H,5,5,5,5,5,5,5,DAA
RESP-652,H,5,5,5,5,5,5,5,DAA
RESP-653,H,5,5,5,5,5,5,5,DAA
RESP-654,H,5,5,5,5,5,5,5,DAA
RESP-655,H,5,5,5,5,5,5,5,DAA
RESP-656,H,5,5,5,5,5,5,5,DAA
RESP-657,H,4,4,4,4,4,4,4,DAA
RESP-658,H,4,4,3,3,4,4,3,DAA
RESP-659,H,5,5,5,5,5,5,5,DAA
RESP-660,H,4,4,4,4,4,4,4,DAA
RESP-661,H,4,4,5,4,5,5,5,DAA
RESP-662,H,4,4,4,4,4,4,4,DAA
RESP-663,H,5,5,5,5,5,5,5,DAA
RESP-664,H,5,4,5,4,,5,5,DAA
RESP-665,H,4,5,5,5,5,4,4,DAA
RESP-666,H,5,5,5,5,5,5,5,DAA
RESP-667,H,5,5,5,5,5,5,5,DAA
RESP-668,H,5,3,4,4,4,4,4,DAA
RESP-669,H,5,5,5,5,5,5,5,DAA
RESP-670,H,5,5,5,5,5,5,5,DAA
RESP-671,H,4,4,4,4,4,4,4,DAA
RESP-672,H,5,5,5,5,5,5,5,DAA
RESP-673,H,5,5,5,5,5,5,5,DAA
RESP-674,H,5,5,5,5,5,5,5,DAA
RESP-675,H,5,5,5,5,5,5,5,DAA
RESP-676,H,4,4,4,4,4,4,4,DAA
RESP-677,H,5,4,5,5,5,4,5,DAA
RESP-678,H,5,5,5,4,3,5,4,DAA
